District Name,Latitude,Longitude
강남구,37.514575,127.049556
강동구,37.527367,127.125864
강북구,37.636956,127.027719
강서구,37.548156,126.851675
관악구,37.475386,126.953844
광진구,37.535739,127.084533
구로구,37.49265,126.889597
금천구,37.452556,126.898288
노원구,37.654397,127.074152
도봉구,37.668364,127.027661
동대문구,37.574775,127.043177
동작구,37.511267,126.940395
마포구,37.566531,126.900271
서대문구,37.57959,126.936977
서초구,37.483891,127.032489
성동구,37.563183,127.036875
성북구,37.589428,127.016306
송파구,37.514477,127.106064
양천구,37.518048,126.866288
영등포구,37.526447,126.898312
용산구,37.5326,126.9901
은평구,37.606701,126.930559
종로구,37.57295,126.979736
중구,37.563244,126.997888
중랑구,37.611233,127.105926
